CODEX_ID,X_centroid,Y_centroid,Sample,leiden_R,phenotype
CODEX_9079-1,1750.357143,3338.404762,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9080-1,2077.923729,3338.228814,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9081-1,2896.422179,3339.161479,D10_batch_2_Sample,"1-2-3,2",CD11b+ myeloid cells
CODEX_9082-1,3386.542254,3336.06338,D10_batch_2_Sample,5,PD1-CD8+ T cells
CODEX_9083-1,3542.931373,3337.872549,D10_batch_2_Sample,5,Hepatocyte
CODEX_9084-1,3930.969799,3338.191275,D10_batch_2_Sample,6,Non-immune cells
CODEX_9085-1,1123.047009,3338.92735,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9086-1,4327.552632,3340.684211,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9087-1,405.9682927,3341.743902,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9088-1,915.28125,3341.104167,D10_batch_2_Sample,6,Tumor cells
CODEX_9089-1,1439.055556,3341.555556,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9090-1,2718.153846,3344.551282,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9091-1,3625.833333,3343.1,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9092-1,4446.61215,3341.733645,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9093-1,5561.746377,3341.514493,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9094-1,3478.207317,3342.792683,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9095-1,3584.831126,3344.63245,D10_batch_2_Sample,"1-2-3,2",Hepatocyte
CODEX_9096-1,3907.02381,3342.214286,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9097-1,5028.237265,3343.701072,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9098-1,306.5522648,3346.437282,D10_batch_2_Sample,"1-2-3,2",Hepatocyte
CODEX_9099-1,2806.528986,3346.123188,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9100-1,3122.046218,3345.894958,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9101-1,4158.400498,3345.932836,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9102-1,4652.25,3347.833333,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9103-1,4743.34466,3347.121359,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9104-1,5179.054839,3346.990323,D10_batch_2_Sample,6,Non-immune cells
CODEX_9105-1,107.6390374,3347.264706,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9106-1,1914.5,3348.5,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9107-1,3160.208333,3348.291667,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9108-1,6711.846154,3348.692308,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9109-1,1041.887454,3351.356089,D10_batch_2_Sample,6,Non-immune cells
CODEX_9110-1,2358.765372,3349.788026,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9111-1,3720.961538,3354.32906,D10_batch_2_Sample,5,T cells
CODEX_9112-1,5446.420354,3350.517699,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9113-1,6424.97619,3350.690476,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9114-1,2012.551613,3350.732258,D10_batch_2_Sample,"1-2-3,2",Hepatocyte
CODEX_9115-1,2064.439394,3351.530303,D10_batch_2_Sample,5,PD1-CD4+ T cells
CODEX_9116-1,3192.605263,3351.657895,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9117-1,3792.5,3351.647727,D10_batch_2_Sample,5,Hepatocyte
CODEX_9118-1,5268.214286,3352.178571,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9119-1,5364.504785,3352.212919,D10_batch_2_Sample,6,Non-immune cells
CODEX_9120-1,5707.998638,3351.366485,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9121-1,5835.265217,3352.969565,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9122-1,6363.26,3351.0,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9123-1,241.5,3353.5,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9124-1,1550.680723,3355.246988,D10_batch_2_Sample,5,PD1-CD8+ T cells
CODEX_9125-1,2523.133166,3354.449749,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9126-1,3252.768657,3353.395522,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9127-1,3640.78866,3353.304124,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9128-1,4002.569565,3354.534783,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9129-1,5487.883459,3355.575188,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9130-1,5740.106218,3355.805699,D10_batch_2_Sample,"1-2-3,1",T cells
CODEX_9131-1,663.8522267,3348.645749,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9132-1,1369.718391,3357.304598,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9133-1,2961.177165,3358.185039,D10_batch_2_Sample,6,Non-immune cells
CODEX_9134-1,4084.050877,3355.945614,D10_batch_2_Sample,6,Hepatocyte
CODEX_9135-1,4179.259124,3357.507299,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9136-1,4338.802326,3353.616279,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9137-1,6132.919355,3355.806452,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9138-1,2982.035714,3359.678571,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9139-1,4510.638614,3360.480198,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9140-1,4558.115385,3360.75641,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9141-1,6459.083942,3360.178832,D10_batch_2_Sample,"1-2-3,2",Endomucin
CODEX_9142-1,138.2004405,3363.143172,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9143-1,1447.438053,3363.721239,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9144-1,1944.65873,3364.722222,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9145-1,3554.623457,3361.537037,D10_batch_2_Sample,5,T cells
CODEX_9146-1,4128.459184,3362.295918,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9147-1,562.3961039,3365.136364,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9148-1,1978.115385,3364.884615,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9149-1,2839.71875,3364.546875,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9150-1,3755.367925,3363.59434,D10_batch_2_Sample,5,F4-80+ macrophage
