CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_5065,214.0601266,405.6708861,0,0,0,0.047468354,112.585443,0,161.4462025,247.2278481,66.77848101,0,343.0822785,95.80063291,74.51265823,0,973.4335443,147.2974684
CODEX_5066,196.4642857,544.1386555,0,0,0,0,81.3802521,0,113.8340336,73.78361345,58.06092437,0,106.355042,83.93487395,31.84453782,0,447.4222689,389.9936975
CODEX_5067,204.5512552,671.7186192,3.879707113,0,0,8.093096234,96.09832636,0,74.45920502,210.7259414,44.4958159,0,352.6401674,92.19769874,30.20083682,0,79.32112971,57.42677824
CODEX_5068,295.3247423,419.6262887,0,0,0,0,166.4742268,0,183.7216495,98.62886598,128.4510309,0,904.3891753,100.1314433,28.52319588,23.6314433,761.2036082,166.4458763
CODEX_5069,139.025974,400.0681818,5.314935065,0,0,0,87.17532468,0,126.9967532,91.27597403,56.72402597,0,155.737013,82.98376623,33.42857143,0,372.6071429,64.08441558
CODEX_5070,202.3677686,402.4173554,0,0,0,0,82.88842975,0,48.22107438,57.1322314,45.04545455,0,111.7665289,85.2768595,23.47107438,0,100.9297521,15.46487603
CODEX_5071,133.8322072,139.7331081,0,0,0,0,85.03716216,0,156.2556306,54.50675676,48.73085586,0,86.56306306,77.6463964,32.85022523,0,811.2353604,1328.893018
CODEX_5072,299.5181818,642.7,0,0,0,0.443181818,97.44318182,0,132.8295455,353.8090909,65.925,0,347.5795455,123.7204545,209.8818182,0,507.3113636,275.5045455
CODEX_5073,1523.304054,859.5337838,6870.712838,180.0608108,0,488.7060811,960.5574324,0,174.4087838,545.4155405,198.8209459,0,2825.158784,129.0168919,99.52027027,0,289.8918919,63.63513514
CODEX_5074,155.953629,248.3225806,0,0,0,0.012096774,96.66129032,0,121.4879032,133.0221774,52.82862903,0,208.8729839,92.23185484,33.6733871,0,563.7439516,892.6189516
CODEX_5075,154.2337963,319.6458333,0,0,0,0,102.8356481,0,141.8726852,88.63657407,63.50694444,0,177.7986111,82.52314815,27.66898148,0,606.0439815,287.775463
CODEX_5076,151.3808411,112.838785,0,0,0,0,78.78037383,0,110.8200935,36.66121495,46.06542056,0,94.17757009,85.88084112,42.85514019,0,620.4462617,1756.102804
CODEX_5077,361.54375,762.7541667,2.3875,0,0,35.19583333,98.75625,0,124.5416667,204.3041667,58.59375,0,354.9,107.6333333,88.18958333,0,195.2604167,153.0229167
CODEX_5078,185.93125,409.03625,0,0,0,0,163.5325,0,124.1525,63.48,84.65,0,331.81625,101.87625,377.535,0,404.60375,137.03375
CODEX_5079,175.690625,247.3578125,0,0,0,0,142.0421875,0,147.86875,61.5046875,67.48125,0,207.1890625,78.3546875,45.290625,0,543.7,589.803125
CODEX_5080,303.0347938,1100.42268,3.882731959,0,0,0.204896907,95.39561856,0,85.65721649,192.6701031,54.99226804,0,305.3298969,100.4819588,30.80670103,0.005154639,129.6945876,38.44974227
CODEX_5081,213.502381,281.8714286,0.007142857,0,0,0.271428571,151.2880952,0,192.9404762,134.102381,99.89761905,0.064285714,457.6857143,86.56904762,49.85,0.661904762,756.9571429,172.2761905
CODEX_5082,308.2882166,1042.251592,0,0,0,7.152866242,122.022293,0,134.4761146,450.6433121,69.02070064,0,735.8152866,110.6417197,38.97611465,0.022292994,277.4856688,126.3264331
CODEX_5083,266.1113861,391.3737624,0,0,0,0,271.4628713,0,161.5123762,48.50247525,132.7227723,0,591.3514851,94.74257426,30.2029703,110.7846535,605.9480198,209.8811881
CODEX_5084,185.789916,178.7962185,0,0,0,0,344.1260504,0,210.8760504,44.35084034,133.1722689,0,896.9684874,76.55252101,32.89495798,58.64705882,765.9852941,1096.581933
