CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_14048,34694.61436,2422.882979,3804.882979,752,32.37034594,29.73748882,0.395038569,0.966580977,0.835555556,-0.854317084,D0_batch_2_Sample
CODEX_14049,38664.59028,2691.666667,3804.148148,432,28.44868144,20.15741447,0.705657038,0.935064935,0.642857143,0.52243408,D0_batch_2_Sample
CODEX_14050,17011.33871,4700.370968,3804.693548,124,14.14288705,11.45609067,0.586395482,0.892086331,0.738095238,-0.084643732,D0_batch_2_Sample
CODEX_14051,27530.36486,6288.013514,3804.202703,296,20.88901837,18.4526987,0.468679286,0.927899687,0.74,0.81364117,D0_batch_2_Sample
CODEX_14052,14671.2774,1328.417808,3805.979452,292,20.26143369,18.48629285,0.409326015,0.951140065,0.811111111,0.145025986,D0_batch_2_Sample
CODEX_14053,32208.72407,2149.72963,3809.611111,540,37.52992566,19.51268701,0.854212881,0.897009967,0.5625,0.737035989,D0_batch_2_Sample
CODEX_14054,33741.99797,5106.207317,3806.987805,492,27.049321,23.29873731,0.50802423,0.951644101,0.788461538,-1.273626263,D0_batch_2_Sample
CODEX_14055,28410.38863,5542.405213,3807.883886,844,35.13842157,30.82288666,0.480153057,0.938820912,0.781481481,0.252374506,D0_batch_2_Sample
CODEX_14056,25655.17096,5632.735294,3807.367647,544,28.1896006,24.80875744,0.4748482,0.915824916,0.747252747,-0.357938955,D0_batch_2_Sample
CODEX_14057,22219.46429,5918.545113,3811.417293,532,34.2624545,20.96081431,0.791034056,0.894117647,0.682051282,-0.582678049,D0_batch_2_Sample
CODEX_14058,28223.06169,576.1363636,3809.798701,308,20.25024618,19.53737298,0.262996405,0.924924925,0.77,0.393775506,D0_batch_2_Sample
CODEX_14059,16197.92619,960.5952381,3807.680952,420,27.80904975,19.54158236,0.711480476,0.9375,0.795454545,0.744380472,D0_batch_2_Sample
CODEX_14060,12028.73913,1860.388199,3809.903727,644,39.2739877,22.66336165,0.816703297,0.871447903,0.559027778,0.849871884,D0_batch_2_Sample
